confirmationnumber,client,program,exam,startdate,enddate,startschedulingdate,endschedulingdate
0000000089661230,NCARB,ARE50,PDD,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000093437310,NCARB,ARE50,PPD,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000093696200,NCARB,ARE50,PA,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000093721478,IRS,IRS,SEE1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000093907940,NCARB,ARE50,PDD,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000094576047,NCARB,ARE50,PDD,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000094860747,NCARB,ARE50,PDD,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000095469225,IRS,IRS,SEE1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000095700172,CPA,CPA,BEC,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000095783967,NCARB,ARE50,PDD,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000095840167,NCARB,ARE50,PA,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097530272,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097530273,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097530874,ASQ,ASQ,CQEEN,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097532830,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097535739,NASD,80,03,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097536731,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097537585,NBCOT,NBCOT,COTA,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097539113,NBME,STEP2,STEP2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097539320,CDCA,CDCA,CSCE,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097540730,CDCA,CDCA,CSCE,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097540750,CDCA,CDCA,CSCE,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097542464,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097542775,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097542783,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097545608,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097545609,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097545773,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097547070,CPA,CPA,REG,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097548508,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097550178,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097550418,NASD,1,S7TO,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097550493,NBCE,NBCE,PT2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097551333,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097551378,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097551527,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097551614,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097551688,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097554009,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097554053,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097554977,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097555904,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097555620,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097555624,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097555973,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097557058,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097557895,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097558127,CPA,CPA,REG,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097558724,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097560381,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097561016,OME,OME,CM2L3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097561017,OME,OME,CM2L3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097563082,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097563878,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097564871,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097565941,CPA,CPA,REG,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097566873,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097566874,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097567486,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097569580,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097570549,CPA,CPA,FAR,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097570733,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097572195,CDCA,CDCA,CSCE,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097572485,ETS,PRA,A5331,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097572861,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097573271,CPA,CPA,FAR,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097573283,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097574201,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
